drug_node,drug_name,num_diseases_connected,weighted_degree,avg_prescription_weight,num_patients,effectiveness_score,betweenness,closeness,num_diseases_connected_normalized,effectiveness_score_normalized,betweenness_normalized,closeness_normalized,composite_score
drug_0,No matching concept,3973,6543407,1646.9687893279638,1264,0.24798901314498725,0.016970297461535336,0.47922109732201174,0.9999999999999999,0.19431279031311885,0.5917673811373971,0.0,0.476647313321415
drug_25,levetiracetam 500 MG Oral Tablet,824,103340,125.4126213592233,61,0.291866028708134,9.437020380022296e-05,0.5165030748653641,0.08031542056074764,0.24312462301477225,0.0032907619024851176,0.49972108509607605,0.1976343824723682
drug_26,5 ML levetiracetam 100 MG/ML Injection,699,92879,132.87410586552218,35,0.8974358974358975,0.00021029571847352174,0.532354066106097,0.04380841121495327,0.9168025097653246,0.007333174145447444,0.7121849903021955,0.4320869091836119
drug_34,baclofen 10 MG Oral Tablet,993,184014,185.31117824773415,78,0.4,0.0006442173745150371,0.50405679145992,0.12967289719626166,0.3634203461472554,0.022464357473052976,0.332893286287673,0.21899950175520028
drug_36,duloxetine 20 MG Delayed Release Oral Capsule,584,19061,32.638698630136986,45,0.4368932038834951,0.0002492716356081858,0.5283117023383076,0.010221962616822428,0.4044629027723168,0.00869229448275953,0.658001855675181,0.25774428964832985
drug_37,duloxetine 60 MG Delayed Release Oral Capsule,883,50727,57.4484711211778,53,0.24651162790697675,0.00013687587578440122,0.5117098815143545,0.09754672897196262,0.19266924459452098,0.004772967517947954,0.4354739624841777,0.17511417807037022
drug_38,escitalopram 10 MG Oral Tablet,913,40925,44.82475355969332,58,0.24369747899159663,0.00027655035081076013,0.5186518083025633,0.10630841121495324,0.18953859032617446,0.00964352435323228,0.5285223310485163,0.19638727154268804
drug_57,diazepam 5 MG Oral Tablet,1005,12800,12.7363184079602,211,0.5396419437340153,0.004835405197814712,0.5076322456097544,0.1331775700934579,0.518767721263705,0.1686143143415525,0.3808180463245803,0.3054700595403754
drug_60,mirtazapine 15 MG Oral Tablet,1125,256114,227.6568888888889,64,0.24615384615384617,0.0001104079026795661,0.5104330266995737,0.16822429906542055,0.19227122337878036,0.0038500088506785895,0.41835922459747543,0.19259050342289108
drug_72,pregabalin 50 MG Oral Capsule,766,236312,308.5013054830287,50,0.3597122302158273,0.00023480120800759255,0.5259519411902254,0.06337616822429906,0.31860143917766914,0.008187699494689907,0.6263720313152472,0.24150522838257787
drug_85,sertraline 100 MG Oral Tablet,650,14262,21.94153846153846,46,0.3087248322147651,0.003497077523078063,0.5173940895649559,0.029497663551401848,0.26187952431683126,0.12194579453642251,0.5116640897824247,0.21413513322423938
drug_86,sertraline 50 MG Oral Tablet,887,52468,59.152198421646,78,0.3786407766990291,0.0009154639352168844,0.5044186903253772,0.098714953271028,0.339658865995904,0.03192293456829124,0.33774411517761127,0.20544555572926013
drug_92,250 ML norepinephrine 0.016 MG/ML Injection,1289,92838,72.0232738557021,121,0.7289156626506024,0.0074588752554424565,0.5029168160292814,0.21612149532710276,0.7293289224757601,0.26009674174234426,0.3176132556476903,0.3991771248188657
drug_118,prochlorperazine 10 MG Oral Tablet,856,10915,12.751168224299066,202,0.3804143126177024,0.005109849580933836,0.507745314344583,0.089661214953271,0.3416318702543195,0.17818440197462923,0.38233359980597204,0.24149152591839743
drug_119,prochlorperazine 5 MG Oral Tablet,556,8821,15.865107913669064,46,0.7540983606557377,0.0015324173261163925,0.5336102415155358,0.002044392523364469,0.7573439008471552,0.0534365758726911,0.7290225450683234,0.3843083121993588
drug_121,2 ML prochlorperazine 5 MG/ML Injection,1568,104502,66.64668367346938,168,0.5472312703583062,0.004863830346072382,0.49537463251552677,0.29760514018691586,0.5272106141256853,0.16960552121821512,0.21651915126160848,0.3246696607897451
drug_132,quetiapine 25 MG Oral Tablet,1270,277988,218.88818897637796,80,0.547945205479452,0.0009777085357871723,0.5058724653303528,0.21057242990654204,0.5280048450287204,0.03409345187082591,0.35723026024937354,0.2998379249046186
drug_145,cyclobenzaprine hydrochloride 10 MG Oral Tablet,845,68369,80.91005917159764,99,0.4583333333333333,0.002130761398393929,0.5094668252456189,0.0864485981308411,0.4283143885303021,0.07430129586203235,0.4054084298487197,0.2503708411404934
drug_170,olanzapine 5 MG Disintegrating Oral Tablet,702,65292,93.00854700854701,32,0.64,0.0005527523910575543,0.5222849973154965,0.04468457943925233,0.6304129776660764,0.019274902848047653,0.5772209590596216,0.32182843951313245
drug_204,gabapentin 50 MG/ML Oral Solution,997,371069,372.18555667001004,50,0.45045045045045046,0.0028164156516312607,0.5184060355611441,0.1308411214953271,0.419544923343404,0.09821058930392024,0.5252280363484498,0.28980353858209335
drug_208,clonazepam 0.5 MG Oral Tablet,734,29938,40.787465940054496,59,0.1638888888888889,0.000500992289567897,0.515246888245023,0.054030373831775697,0.10075398412063746,0.017469988127173385,0.4828833800609802,0.14650598102335466
drug_223,benzocaine 15 MG / menthol 3.6 MG Oral Lozenge,1152,36422,31.616319444444443,126,0.863013698630137,0.0033314942603295925,0.5050706092805002,0.17610981308411214,0.8785088704244329,0.11617177826010541,0.3464823224593987,0.4089164251964644
drug_247,metoclopramide 10 MG Oral Tablet,972,30227,31.097736625514404,120,0.5309734513274337,0.004283415654392148,0.508833869118117,0.12353971962616819,0.5091242896014794,0.14936601257979626,0.3969243969809435,0.29905728468044224
drug_259,mineral oil,622,25398,40.832797427652736,51,0.9444444444444444,0.0008213981773259579,0.5348755519871538,0.021320093457943917,0.969098075055692,0.02864278892983159,0.7459825446049653,0.4520505172610501
drug_277,dimethicone,581,13095,22.538726333907057,36,0.7346938775510204,0.0002420424697739627,0.5268069222938582,0.009345794392523366,0.735757009149693,0.008440207885973435,0.637832048004201,0.35278529224069977
drug_298,nystatin 100 UNT/MG Topical Powder,1037,65488,63.15139826422372,68,0.5271317829457365,0.001022306774267064,0.5144343869710929,0.14252336448598127,0.5048505514737627,0.03564862689639078,0.4719927555553962,0.29574045127828064
drug_321,bumetanide 1 MG Oral Tablet,705,47748,67.72765957446809,29,0.25217391304347825,0.00012615673469737655,0.5377932838299487,0.04556074766355139,0.19896836296537282,0.004399182788276105,0.7850913102493156,0.2312568317961956
drug_322,bumetanide 2 MG Oral Tablet,695,51527,74.13956834532374,26,0.26262626262626265,0.0011607023631723442,0.5399415113503401,0.042640186915887834,0.21059628096813224,0.040474587984761466,0.8138857749816353,0.24684301295848537
drug_323,bumetanide 0.25 MG/ML Injectable Solution,750,41202,54.936,29,0.6304347826086957,0.0003438837444376594,0.5388682334717162,0.05870327102803738,0.6197719669896017,0.011991491800473408,0.7994997466253908,0.36584081909046456
drug_327,"sennosides, USP 8.6 MG Oral Tablet",3203,665552,207.79019669060256,668,0.5052950075642966,0.006094984257375734,0.48084485545862937,0.7751168224299065,0.4805578092946958,0.21253680910638473,0.021764569141232037,0.42356266516690405
drug_332,sodium bicarbonate 650 MG Oral Tablet,936,296471,316.74252136752136,48,0.32432432432432434,0.0004761261037577802,0.5136487090109996,0.11302570093457945,0.2792334803530325,0.016602885020166477,0.46146166604177363,0.2132906645986716
drug_333,50 ML sodium bicarbonate 84 MG/ML Prefilled Syring,909,24222,26.646864686468646,83,0.8383838383838383,0.0022086085118275685,0.5221985556487946,0.10514018691588786,0.851108907086516,0.07701588484022477,0.5760623101271296,0.41749036719419197
drug_334,sodium phosphate,1147,62064,54.10985178727114,83,0.7614678899082569,0.00019090442734654513,0.5097126917418994,0.17464953271028036,0.7655422758812596,0.006656984845107058,0.4087039812224944,0.36512973579098223
